FWEIGHT,FASTFIN,FASTOTH,FDBTTOT,FNETWTH
.33709205015544,438421702.3382043,252358149.9771936,38279841.68462683,652500010.630771
.3383605097940471,437749791.6832799,251971394.1917879,38221175.26058909,651500010.6144787
.3396357020731286,437077881.0283554,251584638.4063823,38162508.83655135,650500010.5981863
.3409176731622161,436405970.3734309,251197882.6209766,38103842.41251361,649500010.5818939
.3422064696174788,435734059.7185065,250811126.8355709,38045175.98847587,648500010.5656016
.3435021383841648,435062149.063582,250424371.0501653,37986509.56443813,647500010.5493091
.3448047268111864,434390238.4086576,250037615.2647596,37927843.14040038,646500010.5330168
.3461142826381853,433718327.7537331,249650859.4793539,37869176.71636264,645500010.5167243
.3474308540162684,433046417.0988086,249264103.6939483,37810510.2923249,644500010.500432
.3487544895028746,432374506.4438843,248877347.9085426,37751843.86828715,643500010.4841397
.3500852380637415,431702595.7889597,248490592.123137,37693177.44424941,642500010.4678473
.3514231490873553,431030685.1340353,248103836.3377313,37634511.02021167,641500010.451555
.3527682723764932,430358774.4791108,247717080.5523256,37575844.59617393,640500010.4352626
.3541206581658609,429686863.8241864,247330324.76692,37517178.17213619,639500010.4189701
.3554803571116684,429014953.169262,246943568.9815143,37458511.74809845,638500010.4026779
.3568474203095839,428343042.5143375,246556813.1961087,37399845.3240607,637500010.3863854
.3582218992894875,427671131.8594131,246170057.410703,37341178.90002296,636500010.3700931
.3596038460254438,426999221.2044886,245783301.6252973,37282512.47598521,635500010.3538008
.3609933129384366,426327310.5495642,245396545.8398917,37223846.05194747,634500010.3375084
.3623903528990384,425655399.8946397,245009790.054486,37165179.62790973,633500010.3212161
.3637950192380824,424983489.2397152,244623034.2690804,37106513.20387199,632500010.3049235
.3652073657387936,424311578.5847908,244236278.4836747,37047846.77983425,631500010.2886313
.3666274466605086,423639667.9298664,243849522.698269,36989180.3557965,630500010.2723389
.3680553167241592,422967757.2749419,243462766.9128633,36930513.93175876,629500010.2560465
.3694910311293664,422295846.6200175,243076011.1274577,36871847.50772102,628500010.2397542
.3709346455545309,421623935.965093,242689255.342052,36813181.08368327,627500010.2234617
.3723862161657649,420952025.3101686,242302499.5566464,36754514.65964554,626500010.2071694
.3738457996130483,420280114.6552441,241915743.7712407,36695848.2356078,625500010.190877
.3753134530472544,419608204.0003197,241528987.9858351,36637181.81157005,624500010.1745846
.3767892341161941,418936293.3453952,241142232.2004294,36578515.38753231,623500010.1582923
.3782732009724387,418264382.6904707,240755476.4150237,36519848.96349457,622500010.1419998
.3797654122823422,417592472.0355463,240368720.6296181,36461182.53945682,621500010.1257076
.3812659272225363,416920561.3806219,239981964.8442124,36402516.11541908,620500010.1094152
.382774805497387,416248650.7256974,239595209.0588068,36343849.69138134,619500010.0931228
.3842921073323241,415576740.0707729,239208453.2734011,36285183.2673436,618500010.0768304
.3858178934864578,414904829.4158485,238821697.4879954,36226516.84330586,617500010.0605381
.3873522252576677,414232918.760924,238434941.7025898,36167850.41926812,616500010.0442457
.3888951644864,413561008.1059996,238048185.9171841,36109183.99523038,615500010.0279534
.3904467735635152,412889097.4510751,237661430.1317785,36050517.57119263,614500010.0116611
.3920071154316888,412217186.7961507,237274674.3463728,35991851.14715489,613500009.9953686
.3935762535943889,411545276.1412263,236887918.5609671,35933184.72311714,612500009.9790763
.395154252127227,410873365.4863018,236501162.7755615,35874518.2990794,611500009.9627838
.3967411756703381,410201454.8313773,236114406.9901558,35815851.87504166,610500009.9464915
.3983370894473288,409529544.1764529,235727651.2047502,35757185.45100392,609500009.9301991
.3999420592666119,408857633.5215284,235340895.4193445,35698519.02696617,608500009.9139068
.4015561515240517,408185722.866604,234954139.6339388,35639852.60292843,607500009.8976145
.4031794332187243,407513812.2116795,234567383.8485332,35581186.17889069,606500009.8813219
.4048119719452298,406841901.5567551,234180628.0631275,35522519.75485294,605500009.8650296
.4064538359154449,406169990.9018306,233793872.2777219,35463853.3308152,604500009.8487372
.4081050939555376,405498080.2469062,233407116.4923162,35405186.90677746,603500009.8324449
.4097658155127512,404826169.5919818,233020360.7069105,35346520.48273972,602500009.8161526
.4114360706666645,404154258.9370573,232633604.9215049,35287854.05870198,601500009.7998602
.4131159301317249,403482348.2821328,232246849.1360992,35229187.63466424,600500009.7835678
.4148054652686894,402810437.6272084,231860093.3506936,35170521.2106265,599500009.7672753
.416504748085552,402138526.9722839,231473337.5652879,35111854.78658875,598500009.750983
.4182138512493239,401466616.3173595,231086581.7798822,35053188.36255101,597500009.7346907
.4199328480913028,400794705.662435,230699825.9944766,34994521.93851327,596500009.7183983
.4216618126149861,400122795.0075106,230313070.2090709,34935855.51447552,595500009.702106
.423400819503692,399450884.3525862,229926314.4236653,34877189.09043778,594500009.6858137
.4251499441238371,398778973.6976616,229539558.6382596,34818522.66640005,593500009.6695212
